ServingCell_RSRP,ServingCell_RSRQ,ServingCell_PCI,Neighbor1_RSRP,Neighbor1_RSRQ,Neighbor1_PCI,Neighbor1_IS_MOD3,SINR
-74,-13,149,-81,-22,51,0,22.3
-71,-13,149,-83,-27,140,0,22.3
-68,-11,149,-83,-20,51,0,24.8
-72,-6,149,-81,-21,225,0,22.1
-75,-11,149,-83,-15,140,0,18.3
-71,-11,149,-82,-14,140,0,21.8
-70,-11,149,-92,-23,226,0,23.3
-72,-12,149,-82,-17,140,0,22.4
-74,-6,149,-90,-20,225,0,17.7
-73,-9,149,-81,-15,140,0,21.5
-72,-12,149,-82,-15,140,0,21.8
-71,-6,149,-82,-15,140,0,24.3
-72,-11,149,-83,-14,140,0,22.6
-72,-10,149,-84,-15,140,0,22.9
-72,-10,149,-83,-15,140,0,23.1
-70,-11,149,-81,-21,140,0,23.6
-70,-11,149,-81,-18,140,0,23.5
-70,-10,149,-82,-14,140,0,23.1
-72,-6,149,-83,-15,140,0,22.4
-71,-10,149,-81,-23,225,0,22.7
-71,-11,149,-82,-16,140,0,17.8
-72,-13,149,-82,-15,140,0,17.5
-74,-13,149,-85,-16,140,0,17.6
-73,-6,149,-85,-22,51,0,22.2
-80,-12,149,-88,-14,85,0,16.6
-84,-14,149,-83,-10,85,0,9.3
-78,-8,85,-83,-19,149,0,7.7
-77,-8,85,-85,-13,149,0,8
-78,-10,85,-80,-14,149,0,4.4
-75,-10,85,-79,-14,149,0,3.4
-75,-8,85,-81,-12,149,0,8.3
-74,-7,85,-85,-13,149,0,9.8
-71,-6,85,-85,-13,149,0,11.6
-69,-6,85,-85,-15,149,0,14.8
-68,-6,85,-85,-15,149,0,12.1
-69,-6,85,-88,-22,84,0,15.9
-69,-6,85,-83,-22,84,0,18.5
-68,-6,85,-88,-19,84,0,24.8
-78,-12,90,-80,-15,91,0,3.7
-76,-9,90,-75,-11,91,0,7
-79,-6,28,-103,-13,84,0,17.6
-78,-6,28,-101,-13,84,0,19.2
-77,-6,28,-92,-21,149,0,20.7
-75,-6,28,-94,-24,149,0,22.1
-69,-6,28,-86,-23,29,0,27.1
-65,-5,28,-83,-23,29,0,28.2
-65,-6,28,-80,-22,62,0,27.9
-74,-6,28,-87,-16,27,0,23.7
-78,-7,28,-85,-10,27,0,19
-81,-7,28,-85,-10,27,0,17.1
-84,-7,28,-86,-8,27,0,15.2
-84,-10,28,-82,-7,27,0,13.5
-79,-6,27,-89,-20,29,0,17.5
-74,-6,27,-91,-22,28,0,21.5
-73,-6,27,-85,-20,28,0,23.5
-70,-6,27,-82,-20,29,0,25.7
-74,-6,27,-92,-22,29,0,23.7
-69,-6,27,-88,-27,29,0,26
-70,-5,27,-87,-20,29,0,25
-77,-6,27,-92,-16,272,0,21.8
-61,-6,43,-78,-22,46,0,23.7
-63,-6,43,-76,-20,46,0,20.6
-70,-6,27,-86,-21,29,0,26
-70,-6,27,-88,-26,29,0,26.7
-67,-6,27,-82,-24,29,0,28.4
-67,-6,27,-86,-22,29,0,28.8
-65,-6,27,-83,-25,29,0,29.2
-63,-5,27,-83,-25,29,0,30
-63,-6,27,-98,-9,84,0,29.2
-65,-6,27,-96,-9,84,0,28.7
-67,-6,27,-94,-10,84,0,26.7
-73,-6,27,-84,-18,29,0,22.5
-74,-6,27,-84,-18,29,0,21.3
-73,-6,27,-82,-17,29,0,20.7
-74,-6,27,-83,-17,29,0,20.6
-74,-6,27,-84,-18,29,0,21.8
-74,-6,27,-83,-15,29,0,21.2
-75,-6,27,-83,-17,29,0,21.1
-75,-6,27,-84,-17,29,0,21.1
-75,-6,27,-81,-19,29,0,21
-75,-6,27,-84,-17,29,0,21
-75,-6,27,-83,-16,29,0,21
-75,-6,27,-84,-17,29,0,21
